sport,source_combo,source,market_type,n,wins,losses,pushes,win_rate,units,roi,avg_odds,confidence_bucket
NBA,covers,covers,moneyline,6,4,2,0,0.6667,1.67,0.2783,-111.7,very_low
NBA,covers,covers,player_prop,172,84,88,0,0.4884,-14.6,-0.0849,-60.0,high
NBA,covers,covers,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,covers,covers,total,4,2,2,0,0.5,-0.19,-0.0475,-110.0,very_low
NBA,covers|dimers,covers,player_prop,4,3,1,0,0.75,2.46,0.6155,79.8,very_low
NBA,covers|dimers,covers|dimers,player_prop,4,3,1,0,0.75,2.46,0.6155,79.8,very_low
NBA,covers|dimers,dimers,player_prop,4,3,1,0,0.75,2.46,0.6155,79.8,very_low
NBA,covers|dimers|sportsline,covers,player_prop,3,0,3,0,0.0,-2.87,-0.9567,44.3,very_low
NBA,covers|dimers|sportsline,covers|dimers|sportsline,player_prop,3,0,3,0,0.0,-2.87,-0.9567,44.3,very_low
NBA,covers|dimers|sportsline,dimers,player_prop,3,0,3,0,0.0,-2.87,-0.9567,44.3,very_low
NBA,covers|dimers|sportsline,sportsline,player_prop,3,0,3,0,0.0,-2.87,-0.9567,44.3,very_low
NBA,covers|sportsline,covers,player_prop,10,7,2,1,0.7,5.03,0.5032,3.7,very_low
NBA,covers|sportsline,covers|sportsline,player_prop,10,7,2,1,0.7,5.03,0.5032,3.7,very_low
NBA,covers|sportsline,sportsline,player_prop,10,7,2,1,0.7,5.03,0.5032,3.7,very_low
NBA,covers|vegasinsider,covers,player_prop,2,0,2,0,0.0,-1.71,-0.855,73.0,very_low
NBA,covers|vegasinsider,covers|vegasinsider,player_prop,2,0,2,0,0.0,-1.71,-0.855,73.0,very_low
NBA,covers|vegasinsider,vegasinsider,player_prop,2,0,2,0,0.0,-1.71,-0.855,73.0,very_low
NBA,dimers,dimers,moneyline,8,2,6,0,0.25,-6.2,-0.775,-180.0,very_low
NBA,dimers,dimers,player_prop,6,4,2,0,0.6667,2.35,0.3917,112.7,very_low
NBA,dimers|oddstrader,dimers,moneyline,1,1,0,0,1.0,0.62,0.616,-224.0,very_low
NBA,dimers|oddstrader,dimers|oddstrader,moneyline,1,1,0,0,1.0,0.62,0.616,-224.0,very_low
NBA,dimers|oddstrader,oddstrader,moneyline,1,1,0,0,1.0,0.62,0.616,-224.0,very_low
NBA,dimers|sportsline|vegasinsider,dimers,moneyline,2,0,2,0,0.0,-2.4,-1.2,-150.0,very_low
NBA,dimers|sportsline|vegasinsider,dimers|sportsline|vegasinsider,moneyline,2,0,2,0,0.0,-2.4,-1.2,-150.0,very_low
NBA,dimers|sportsline|vegasinsider,sportsline,moneyline,2,0,2,0,0.0,-2.4,-1.2,-150.0,very_low
NBA,dimers|sportsline|vegasinsider,vegasinsider,moneyline,2,0,2,0,0.0,-2.4,-1.2,-150.0,very_low
NBA,oddstrader,oddstrader,player_prop,652,346,306,0,0.5307,-15.14,-0.0232,-105.2,high
NBA,oddstrader,oddstrader,spread,26,12,14,0,0.4615,-3.04,-0.1168,-108.4,low
NBA,oddstrader,oddstrader,total,4,2,2,0,0.5,-0.13,-0.0335,-107.5,very_low
NBA,oddstrader|sportsline,oddstrader,player_prop,5,5,0,0,1.0,4.55,0.9102,-119.6,very_low
NBA,oddstrader|sportsline,oddstrader,total,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,oddstrader|sportsline,oddstrader|sportsline,player_prop,5,5,0,0,1.0,4.55,0.9102,-119.6,very_low
NBA,oddstrader|sportsline,oddstrader|sportsline,total,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,oddstrader|sportsline,sportsline,player_prop,5,5,0,0,1.0,4.55,0.9102,-119.6,very_low
NBA,oddstrader|sportsline,sportsline,total,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,sportsline,sportsline,player_prop,64,18,46,0,0.2812,-34.96,-0.5463,-124.8,medium
NBA,sportsline|vegasinsider,sportsline,player_prop,1,1,0,0,1.0,0.89,0.888,-125.0,very_low
NBA,sportsline|vegasinsider,sportsline,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,sportsline|vegasinsider,sportsline|vegasinsider,player_prop,1,1,0,0,1.0,0.89,0.888,-125.0,very_low
NBA,sportsline|vegasinsider,sportsline|vegasinsider,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,sportsline|vegasinsider,vegasinsider,player_prop,1,1,0,0,1.0,0.89,0.888,-125.0,very_low
NBA,sportsline|vegasinsider,vegasinsider,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,vegasinsider,vegasinsider,player_prop,10,4,6,0,0.4,-2.33,-0.233,-64.4,very_low
NBA,vegasinsider,vegasinsider,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,vegasinsider,vegasinsider,total,4,4,0,0,1.0,3.82,0.955,-110.0,very_low
