sport,date,source,event_key,matchup_key,game,market_type,selection,line,odds,player_name,player_key,stat_type,eligible_for_consensus,reason_if_ineligible
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Jerami Grant over 9.5,9.5,-115,Jerami Grant,nba:jerami_grant,points,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL,DET @ ORL,player_prop,Jalen Duren under 9.5,9.5,120,Jalen Duren,nba:jalen_duren,rebounds,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Deni Avdija over 23.5,23.5,-110,Deni Avdija,nba:deni_avdija,points,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:OKC@PHX,NBA:2026:04:25:OKC-PHX,OKC @ PHX,player_prop,Devin Booker under 4.5,4.5,-110,Devin Booker,nba:devin_booker,rebounds,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL,DET @ ORL,player_prop,Franz Wagner over 23.5,23.5,-120,Franz Wagner,nba:franz_wagner,pts_reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Donte DiVincenzo under 3.5,3.5,-154,Donte DiVincenzo,nba:donte_divincenzo,assists,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Nikola Jokic under 23.5,23.5,-105,Nikola Jokic,nba:nikola_jokic,reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI,BOS @ PHI,player_prop,Payton Pritchard over 17.5,17.5,-105,Payton Pritchard,nba:payton_pritchard,pts_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Dyson Daniels over 15.5,15.5,-130,Dyson Daniels,nba:dyson_daniels,pts_reb,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI,BOS @ PHI,player_prop,Payton Pritchard over 20.5,20.5,-110,Payton Pritchard,nba:payton_pritchard,pts_reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Ja'Kobe Walter over 8.5,8.5,-125,Ja'Kobe Walter,nba:ja_kobe_walter,pts_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Robert Williams,,-200,Robert Williams,nba:robert_williams,threes,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Rudy Gobert,,150,Rudy Gobert,nba:rudy_gobert,steals,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL,DET @ ORL,player_prop,Franz Wagner over 6.5,6.5,-150,Franz Wagner,nba:franz_wagner,reb_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Mitchell Robinson over 4.5,4.5,-105,Mitchell Robinson,nba:mitchell_robinson,points,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL,DET @ ORL,player_prop,Cade Cunningham under 9.5,9.5,-110,Cade Cunningham,nba:cade_cunningham,assists,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Deandre Ayton over 21.5,21.5,-105,Deandre Ayton,nba:deandre_ayton,pts_reb,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Nikola Jokic under 13.5,13.5,-110,Nikola Jokic,nba:nikola_jokic,rebounds,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Mikal Bridges under 15.5,15.5,100,Mikal Bridges,nba:mikal_bridges,pts_reb,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Miles McBride over 1.5,1.5,150,Miles McBride,nba:miles_mcbride,threes,True,
