atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,,3,ATL,3,spread,4,-3.0,0,0.0,0,3_star,-1.0,betql,3.0,1,0.0456,0.25,1
,,3,DAL,3,spread,4,-3.0,0,0.0,0,3_star,-1.0,betql,3.0,1,0.0456,0.25,1
threes,130.0,3,OVER,3,player_prop,4,-1.87,1,130.0,0,4_star,-0.6515679442508711,betql,2.87,1,0.0456,0.25,1
,,2,HOU,2,spread,4,-2.0,0,0.0,0,4_star,-1.0,betql,2.0,2,0.15,0.5,2
,,3,ORL,2,spread,5,-2.0,0,0.0,1,4_star,-0.6666666666666666,betql,3.0,2,0.15,0.5,2
threes,110.0,4,UNDER,4,player_prop,4,-2.95,1,110.0,0,5_star,-0.7468354430379747,betql,3.95,0,0.0,0.0,0
,,1,CHI,1,spread,4,-1.0,0,0.0,0,5_star,-1.0,betql,1.0,3,0.3006,0.75,3
,,0,ORL,0,spread,4,0.0,0,0.0,0,5_star,,betql,0.0,4,0.5101,1.0,4
,,3,DAL,3,spread,4,-3.0,0,0.0,0,unrated,-1.0,betql,3.0,1,0.0456,0.25,1
,,3,WAS,3,spread,4,-3.0,0,0.0,0,unrated,-1.0,betql,3.0,1,0.0456,0.25,1
,154.5,4,NYM,2,moneyline,4,1.0110000000000001,4,618.0,0,unrated,0.337,bettingpros_experts,3.0,0,0.15,0.5,2
,-84.75,4,CHC,2,spread,4,-0.4590000000000001,4,-339.0,0,unrated,-0.10314606741573035,bettingpros_experts,4.45,0,0.15,0.5,2
,10.5,4,OVER,1,team_total,4,2.1559999999999997,4,42.0,0,unrated,0.5599999999999999,bettingpros_experts,3.85,0,0.3006,0.75,3
assists,24.333333333333332,3,OVER,1,player_prop,4,0.983,3,73.0,0,5_star,0.32549668874172183,covers,3.02,1,0.3006,0.75,3
,-6.666666666666667,3,CLE,0,moneyline,4,3.13,3,-20.0,0,unrated,1.0905923344947737,dimers,2.8699999999999997,1,0.5101,1.0,4
,-127.5,4,HOU,1,moneyline,4,1.5230000000000001,4,-510.0,0,unrated,0.33995535714285713,dimers,4.48,0,0.3006,0.75,3
blocks,155.75,4,UNDER,1,player_prop,4,2.864,4,623.0,0,unrated,0.9121019108280255,dimers,3.1399999999999997,0,0.3006,0.75,3
double_doubles,682.75,4,OVER,2,player_prop,4,7.696000000000001,4,2731.0,0,unrated,2.211494252873563,juicereel_sxebets,3.4800000000000004,0,0.15,0.5,2
,-106.5,4,MIL,1,spread,4,3.915,4,-426.0,0,unrated,0.6145996860282574,oddstrader,6.37,0,0.3006,0.75,3
,-149.5,3,CHA,1,moneyline,4,0.613,2,-299.0,0,unrated,0.18082595870206492,sportsline,3.3899999999999997,1,0.3006,0.75,3
,-134.25,4,WAS,3,moneyline,4,-2.566,4,-537.0,0,unrated,-0.5614879649890591,sportsline,4.57,0,0.0456,0.25,1
