atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
pts_reb_ast,-115.77777777777777,19,sXeBets,13,player_prop,28,-7.648,9,-1042.0,0,-0.38881545500762577,juicereel_sxebets,19.67,9,0.3581,0.5357142857142857,15
rebounds,21.2,15,Matt DiLeo,12,player_prop,27,-8.969,5,106.0,0,-0.5987316421895861,action,14.98,12,0.3731,0.5555555555555556,15
points,-89.57692307692308,27,Mike Barner,12,player_prop,27,1.4659999999999993,26,-2329.0,0,0.05142055419151172,sportsline,28.51,0,0.3731,0.5555555555555556,15
pts_reb,,20,Player Prop Savant,20,player_prop,27,-20.0,0,0.0,0,-1.0,action,20.0,7,0.1317,0.25925925925925924,7
reb_ast,-115.0,16,The Propfessor,15,player_prop,27,-14.142000000000001,2,-230.0,0,-0.8762081784386617,action,16.14,11,0.2759,0.4444444444444444,12
assists,40.56521739130435,24,Jon Metler,11,player_prop,26,2.187000000000002,23,933.0,0,0.09185216295674095,covers,23.81,2,0.3895,0.5769230769230769,15
points,-112.2,13,Allan Lem,9,player_prop,25,-4.242000000000001,5,-561.0,0,-0.31918735891647865,action,13.29,12,0.4452,0.64,16
pts_ast,,9,Buckets Podcast,9,player_prop,25,-9.0,0,0.0,0,-1.0,action,9.0,16,0.4452,0.64,16
points,-103.45833333333333,25,Jason Logan Senior,12,player_prop,25,-0.32400000000000106,24,-2483.0,0,-0.012310030395136819,covers,26.32,0,0.335,0.52,13
pts_reb,-115.0,13,Matt DiLeo,13,player_prop,25,-13.14,2,-230.0,0,-1.0,action,13.14,12,0.3003,0.48,12
rebounds,-40.22222222222222,16,nukethebooks,12,player_prop,25,-10.253999999999998,9,-362.0,0,-0.6310153846153845,juicereel_nukethebooks,16.25,9,0.335,0.52,13
rebounds,3.5,14,Boomer Betz,12,player_prop,24,-9.022,4,14.0,0,-0.6472022955523673,action,13.940000000000001,10,0.3143,0.5,12
pts_reb_ast,,8,Jim Turvey,8,player_prop,24,-8.0,0,0.0,0,-1.0,action,8.0,16,0.4671,0.6666666666666666,16
assists,-114.25,11,Markus Markets,8,player_prop,24,-6.265000000000001,4,-457.0,0,-0.5559006211180124,action,11.270000000000001,13,0.4671,0.6666666666666666,16
,-96.41176470588235,19,Matt Moore,11,spread,24,-3.6640000000000006,17,-1639.0,0,-0.18627351296390443,action,19.67,5,0.3507,0.5416666666666666,13
assists,-124.0,12,Bryan Fonseca,9,player_prop,22,-6.495,5,-620.0,0,-0.5200160128102482,action,12.49,10,0.3873,0.5909090909090909,13
threes,29.818181818181817,22,EV Model Rating Star,13,player_prop,22,-3.6519999999999984,22,656.0,0,-0.16883957466481728,covers,21.630000000000003,0,0.2326,0.4090909090909091,9
reb_ast,,10,Player Prop Savant,10,player_prop,22,-10.0,0,0.0,0,-1.0,action,10.0,12,0.3466,0.5454545454545454,12
pts_reb,,13,Sandy Plashkes,13,player_prop,22,-13.0,0,0.0,0,-1.0,action,13.0,9,0.2326,0.4090909090909091,9
pts_reb_ast,-108.0,13,Sandy Plashkes,12,player_prop,22,-11.037,1,-108.0,0,-0.8463957055214725,action,13.04,9,0.2692,0.45454545454545453,10
pts_ast,-120.0,14,Cam Is Money,14,player_prop,21,-14.259999999999998,3,-360.0,0,-1.0,action,14.259999999999998,7,0.1719,0.3333333333333333,7
points,-22.80952380952381,21,Dimers AI Model,9,player_prop,21,3.0340000000000007,21,-479.0,0,0.14489016236867241,dimers,20.94,0,0.3655,0.5714285714285714,12
reb_ast,-119.5,14,Markus Markets,13,player_prop,21,-12.352000000000002,4,-478.0,0,-0.8607665505226483,action,14.35,7,0.2075,0.38095238095238093,8
assists,56.0,13,nukethebooks,8,player_prop,20,-3.5499999999999994,11,616.0,0,-0.2844551282051282,juicereel_nukethebooks,12.479999999999999,7,0.3866,0.6,12
,-106.33333333333333,15,Brandon Kravitz,11,spread,19,-7.356999999999998,12,-1276.0,0,-0.47928338762214967,action,15.350000000000001,4,0.2314,0.42105263157894735,8
