atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
assists,118.0,3,2,player_prop,5,-2.0,1,118.0,0,unrated,-0.684931506849315,bettingpros_experts,2.92,2,0.2307,0.6,3
steals,,1,1,player_prop,5,-1.0,0,0.0,0,unrated,-1.0,bettingpros_experts,1.0,4,0.3755,0.8,4
,-61.8,5,5,spread,5,-5.05,5,-309.0,0,unrated,-1.0,dimers,5.05,0,-0.0,0.0,0
reb_ast,-48.666666666666664,4,3,player_prop,5,-2.2039999999999997,3,-146.0,0,unrated,-0.5247619047619048,sportsline,4.199999999999999,1,0.1176,0.4,2
,-110.0,2,1,spread,5,-0.04500000000000004,1,-110.0,0,unrated,-0.021951219512195145,sportsline,2.05,3,0.3755,0.8,4
,-120.0,4,4,total,4,-4.09,1,-120.0,0,unrated,-1.0,bettingpros_experts,4.09,0,0.0,0.0,0
threes,8.5,2,2,player_prop,4,-1.9300000000000002,2,17.0,0,unrated,-1.0,juicereel_sxebets,1.9300000000000002,2,0.15,0.5,2
pts_ast,-121.5,3,3,player_prop,3,-3.1900000000000004,2,-243.0,0,unrated,-1.0,bettingpros_experts,3.1900000000000004,0,0.0,0.0,0
pts_reb,-114.0,3,3,player_prop,3,-3.2,3,-342.0,0,unrated,-1.0,covers,3.2,0,0.0,0.0,0
pts_reb,-105.0,3,2,player_prop,3,-1.069,3,-315.0,0,unrated,-0.34934640522875815,juicereel_nukethebooks,3.06,0,0.0615,0.3333333333333333,1
,-110.0,3,1,total,3,-0.09500000000000008,2,-220.0,0,unrated,-0.03064516129032261,vegasinsider,3.0999999999999996,0,0.2077,0.6666666666666666,2
blocks,,0,0,player_prop,2,0.0,0,0.0,0,unrated,,bettingpros_experts,0.0,2,0.3424,1.0,2
threes,-13.5,2,1,player_prop,2,-0.10399999999999987,2,-27.0,0,5_star,-0.04952380952380946,covers,2.1,0,0.0945,0.5,1
pts_ast,-117.5,2,2,player_prop,2,-2.16,2,-235.0,0,unrated,-1.0,juicereel_nukethebooks,2.16,0,0.0,0.0,0
threes,-5.5,2,2,player_prop,2,-2.05,2,-11.0,0,unrated,-1.0,juicereel_nukethebooks,2.05,0,0.0,0.0,0
,-111.0,2,1,spread,2,-0.10400000000000009,2,-222.0,0,unrated,-0.04928909952606639,sportscapping,2.1100000000000003,0,0.0945,0.5,1
pts_reb_ast,-125.0,1,0,player_prop,1,0.888,1,-125.0,0,3_star,0.7999999999999999,betql,1.11,0,0.2065,1.0,1
points,-105.0,1,1,player_prop,1,-1.02,1,-105.0,0,1_star,-1.0,covers,1.02,0,0.0,0.0,0
assists,-180.0,1,0,player_prop,1,0.717,1,-180.0,0,3_star,0.555813953488372,covers,1.29,0,0.2065,1.0,1
threes,145.0,1,1,player_prop,1,-0.82,1,145.0,0,3_star,-1.0,covers,0.82,0,0.0,0.0,0
,-115.0,1,0,total,1,0.93,1,-115.0,0,unrated,0.8691588785046729,sportscapping,1.07,0,0.2065,1.0,1
assists,-140.0,1,0,player_prop,1,0.836,1,-140.0,0,unrated,0.7145299145299145,vegasinsider,1.17,0,0.2065,1.0,1
