atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-110.63636363636364,11,NYK,5,spread,11,-0.505,11,-1217.0,1,unrated,-0.04360967184801381,sportsline,11.580000000000002,0,0.2366,0.5,5
,-116.5,10,UNDER,2,team_total,10,5.231000000000001,10,-1165.0,0,unrated,0.4866046511627908,sportsline,10.75,0,0.4902,0.8,8
,-108.77777777777777,9,UNDER,4,total,10,0.6330000000000002,9,-979.0,0,unrated,0.0674121405750799,sportsline,9.39,1,0.3127,0.6,6
,291.3333333333333,9,MEM,6,moneyline,9,-0.2360000000000002,9,2622.0,0,unrated,-0.03782051282051285,bettingpros_experts,6.24,0,0.1206,0.3333333333333333,3
,2.5555555555555554,9,UTA,7,moneyline,9,-4.91,9,23.0,0,unrated,-0.5510662177328844,bettingpros_experts,8.91,0,0.0632,0.2222222222222222,2
,44.666666666666664,9,WSH,7,moneyline,9,-4.161,9,402.0,0,unrated,-0.5105521472392638,bettingpros_experts,8.149999999999999,0,0.0632,0.2222222222222222,2
,-83.22222222222223,9,MIA,3,spread,9,2.7689999999999997,9,-749.0,0,unrated,0.29999999999999993,dimers,9.23,0,0.3542,0.6666666666666666,6
,-61.888888888888886,9,OVER,5,total,9,-1.3130000000000002,9,-557.0,0,unrated,-0.14087982832618023,dimers,9.320000000000002,0,0.1888,0.4444444444444444,4
,-166.88888888888889,9,BOS,3,moneyline,9,0.8429999999999997,9,-1502.0,0,unrated,0.07553763440860213,sportsline,11.16,0,0.3542,0.6666666666666666,6
,-147.88888888888889,9,LAC,4,moneyline,9,-0.6560000000000007,9,-1331.0,0,unrated,-0.061538461538461604,sportsline,10.66,0,0.2666,0.5555555555555556,5
